member_name,member_party,member_state,member_chamber,member_bio_guide_id,total_trade_volume,photo_url
Rick W.  Allen,Republican,Georgia,House of Representatives,A000372,121500,https://www.congress.gov/img/member/a000372_200.jpg
Ritchie  Torres,Democrat,New York,House of Representatives,T000486,976000,https://www.congress.gov/img/member/t000486_200.jpg
Ro  Khanna,Democrat,California,House of Representatives,K000389,14501500,https://www.congress.gov/img/member/k000389_200.jpg
Robert B.  Aderholt,Republican,Alabama,House of Representatives,A000055,8000,https://www.congress.gov/img/member/a000055_200.jpg
Robert E.  Latta,Republican,Ohio,House of Representatives,L000566,16000,https://www.congress.gov/img/member/l000566_200.jpg
Scott  Franklin,Republican,Florida,House of Representatives,F000472,660000,https://www.congress.gov/img/member/f000472_200.jpg
Sheldon  Whitehouse,Democrat,Rhode Island,Senate,W000802,389500,https://www.congress.gov/img/member/w000802_200.jpg
Shelley Moore  Capito,Republican,West Virginia,Senate,C001047,346500,https://www.congress.gov/img/member/c001047_200.jpg
Sheri  Biggs,Republican,South Carolina,House of Representatives,B001325,2541500,https://www.congress.gov/img/member/677422990b34857ecc909052_200.jpg
Shri  Thanedar,Democrat,Michigan,House of Representatives,T000488,32500,https://www.congress.gov/img/member/68122bf2246d1b6bd8d9f6a2_200.jpg
Susie  Lee,Democrat,Nevada,House of Representatives,L000590,1875000,https://www.congress.gov/img/member/l000590_200.jpg
Ted  Cruz,Republican,Texas,Senate,C001098,175000,https://www.congress.gov/img/member/c001098_200.jpg
Thomas H.  Kean,Republican,New Jersey,House of Representatives,K000398,388000,https://www.congress.gov/img/member/k000398_200.jpg
Thomas R.  Suozzi,Democrat,New York,House of Representatives,S001201,56500,https://www.congress.gov/img/member/116_rp_ny_3_suozzi_thomas_200.jpg
Tim  Moore,Republican,North Carolina,House of Representatives,M001236,2509500,https://www.congress.gov/img/member/67744a540b34857ecc909137_200.jpg
Tommy  Tuberville,Republican,Alabama,Senate,T000278,195000,https://www.congress.gov/img/member/t000278_200.jpg
Tony  Wied,Republican,Wisconsin,House of Representatives,W000829,1087500,https://www.congress.gov/img/member/6734b6724c72e343a6aff9e6_200.jpg
Val T.  Hoyle,Democrat,Oregon,House of Representatives,H001094,3279000,https://www.congress.gov/img/member/h001094_200.jpg
Virginia  Foxx,Republican,North Carolina,House of Representatives,F000450,64500,https://www.congress.gov/img/member/116_rp_nc_5_foxx_virginia_200.jpg
William R.  Keating,Democrat,Massachusetts,House of Representatives,K000375,8000,https://www.congress.gov/img/member/k000375_200.jpg
