Date,GOOGL,BF-A,EMR,ANET,AMZN,NVDA,CNC,TD
2025-07-14,181.3977508544922,28.21182632446289,138.7482147216797,108.37000274658203,225.69000244140625,164.06076049804688,30.639999389648438,74.02999877929688
2025-07-15,181.83737182617188,27.64620018005371,138.5399627685547,107.37000274658203,226.35000610351562,170.69036865234375,30.0,73.44999694824219
2025-07-16,182.80650329589844,27.924049377441406,139.14492797851562,108.30000305175781,223.19000244140625,171.36033630371094,30.40999984741211,74.01000213623047
2025-07-17,183.41595458984375,28.876684188842773,143.20126342773438,111.9800033569336,223.8800048828125,172.99024963378906,29.139999389648438,74.0
2025-07-18,184.89462280273438,28.717912673950195,143.04257202148438,111.77999877929688,226.1300048828125,172.40028381347656,27.950000762939453,73.58000183105469
2025-07-21,189.9301300048828,28.29121208190918,141.7334442138672,111.61000061035156,229.3000030517578,171.37034606933594,27.43000030517578,74.43000030517578
2025-07-22,191.1690216064453,29.898778915405273,143.15167236328125,109.77999877929688,227.47000122070312,167.0205841064453,27.889999389648438,75.0999984741211
2025-07-23,190.0600128173828,30.722408294677734,145.6707763671875,113.04000091552734,228.2899932861328,170.77037048339844,29.420000076293945,75.3499984741211
2025-07-24,191.99827575683594,30.672794342041016,145.61126708984375,114.04000091552734,232.22999572753906,173.73020935058594,26.760000228881836,74.86000061035156
2025-07-25,193.0073699951172,30.504098892211914,148.3981170654297,114.27999877929688,231.44000244140625,173.49021911621094,28.389999389648438,74.93000030517578
2025-07-28,192.4079132080078,29.968242645263672,148.2493438720703,117.55000305175781,232.7899932861328,176.7400360107422,26.860000610351562,74.11000061035156
2025-07-29,195.5750732421875,30.017858505249023,146.39476013183594,118.62000274658203,231.00999450683594,175.50009155273438,25.530000686645508,73.51000213623047
2025-07-30,196.35438537597656,28.97591781616211,144.85751342773438,122.08999633789062,230.19000244140625,179.25990295410156,25.790000915527344,73.55999755859375
2025-07-31,191.728515625,28.42021369934082,144.31202697753906,123.22000122070312,234.11000061035156,177.85997009277344,26.06999969482422,72.87999725341797
2025-08-01,188.96099853515625,28.350749969482422,140.6127471923828,117.56999969482422,214.75,173.710205078125,25.90999984741211,72.55000305175781
2025-08-04,194.86570739746094,29.065227508544922,141.44583129882812,120.3499984741211,211.64999389648438,179.98985290527344,26.209999084472656,73.4800033569336
2025-08-05,194.4960479736328,29.700315475463867,139.41270446777344,118.12000274658203,213.75,178.24993896484375,25.889999389648438,72.9800033569336
2025-08-06,195.91476440429688,29.819393157958984,132.82736206054688,138.77999877929688,222.30999755859375,179.40988159179688,25.209999084472656,73.44000244140625
2025-08-07,196.34439086914062,30.236169815063477,131.73643493652344,139.27999877929688,223.1300048828125,180.7598114013672,25.260000228881836,72.87999725341797
2025-08-08,201.24000549316406,30.1766300201416,131.64718627929688,139.17999267578125,222.69000244140625,182.689697265625,25.59000015258789,73.25
2025-08-11,200.8203887939453,30.335403442382812,130.8736114501953,137.64999389648438,221.3000030517578,182.0497283935547,25.25,73.08000183105469
2025-08-12,203.15829467773438,30.236169815063477,131.85543823242188,141.25,221.47000122070312,183.14967346191406,26.170000076293945,73.20999908447266
2025-08-13,201.779541015625,30.394941329956055,133.88856506347656,138.00999450683594,224.55999755859375,181.5797576904297,27.06999969482422,74.4800033569336
2025-08-14,202.75865173339844,30.017858505249023,133.2637481689453,136.47999572753906,230.97999572753906,182.00973510742188,26.93000030517578,74.5199966430664
2025-08-15,203.71778869628906,30.017858505249023,131.1807861328125,137.3000030517578,231.02999877929688,180.4398193359375,28.489999771118164,74.01000213623047
2025-08-18,203.3181610107422,30.454483032226562,131.2604522705078,138.0399932861328,231.49000549316406,181.99972534179688,28.989999771118164,73.91000366210938
2025-08-19,201.389892578125,30.484251022338867,131.021484375,132.77999877929688,228.00999450683594,175.63009643554688,29.329999923706055,73.30999755859375
2025-08-20,199.1418914794922,30.1766300201416,130.3245086669922,131.47000122070312,223.80999755859375,175.39010620117188,29.399999618530273,73.70999908447266
2025-08-21,199.57150268554688,30.394941329956055,129.5279541015625,132.02999877929688,221.9499969482422,174.97012329101562,28.809999465942383,73.63999938964844
2025-08-22,205.9058380126953,31.109416961669922,133.1920623779297,133.25,228.83999633789062,177.97996520996094,29.40999984741211,74.37999725341797
2025-08-25,208.30369567871094,30.960569381713867,131.80807495117188,133.0399932861328,227.94000244140625,179.79986572265625,29.079999923706055,73.76000213623047
2025-08-26,206.95489501953125,29.75985336303711,132.7738800048828,134.27000427246094,228.7100067138672,181.75975036621094,28.65999984741211,75.23999786376953
2025-08-27,207.29458618164062,30.543792724609375,132.87344360351562,133.27000427246094,229.1199951171875,181.5897674560547,28.84000015258789,76.13999938964844
2025-08-28,211.4508819580078,29.094995498657227,133.96868896484375,136.22999572753906,231.60000610351562,180.1598358154297,28.3799991607666,72.8499984741211
2025-08-29,212.71974182128906,30.11709213256836,131.42970275878906,136.5500030517578,229.0,174.170166015625,29.040000915527344,75.13999938964844
2025-09-02,211.16114807128906,29.35300064086914,130.81239318847656,135.8699951171875,225.33999633789062,170.77037048339844,29.6200008392334,74.52999877929688
2025-09-03,230.45388793945312,28.520000457763672,128.9405059814453,137.3800048828125,225.99000549316406,170.61038208007812,30.059999465942383,74.86000061035156
2025-09-04,232.09242248535156,28.489999771118164,132.52496337890625,141.1699981689453,235.67999267578125,171.65032958984375,28.649999618530273,74.70999908447266
2025-09-05,234.79000854492188,29.15999984741211,131.9773406982422,142.85000610351562,232.3300018310547,167.01058959960938,28.979999542236328,74.45999908447266
